118,R. CONT AND M. VULETIĆ,,,
Table 7. Arbitrage presence in scenarios from the SPX factor model (30)–(31).,,,,
,Total,Calendar,Call,Butterfuly
Paths,62.761%,21.245%,36.548%,36.548%
Surfaces,16.055%,4.004%,9.117%,7.073%
