col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
8,Fi),22.24,22.48,22.38,23.94,23.46,23.34
8,5,22.14,23.46,22.16,23.08,24.80,23.06
8,9,22.24,23.02,22.66,22.92,23.26,22.86
16,0,13.46,13.26,13.14,13.62,13.06,13.76
16,5,14.22,13.46,12.92,13.70,13.24,13.62
16,9,13.08,13.84,13.28,12.86,13.06,13.20
32,0,14.36,14.52,14.28,14.54,14.32,14.30
32,5,14.36,14.06,13.94,15.08,14.36,15.02
32,9,14.68,14.62,13.46,14.94,14.76,14.52
64,0,9.72,9.92,9.42,9.68,10.36,10.44
64,i,9.66,10.34,9.68,9.52,10.06,10.00
64,9,10.84,9.46,10.34,9.40,8.98,10.02
128,0,11.62,11.62,11.84,12.22,12.20,11.42
128,a),11.66,11.62,11.90,12.06,11.94,11.44
128,9,Viee,172,11.28,12.06,10.76,11.40
