0.0629 0.6348 (1.6307) R2 = 0.9387,0.0755 0.7196 (1.8777) R2 = 0.9332
0.1224 0.8947 (4.0669) R2 = 0.9629,0.1418 1.0053 (4.4146) R2 = 0.9574
