CUB(val),,CUB(test),,
pixel,IoU,pixel,IoU,pixel(val)
– –,– –,90.42 –,75.92 –,– –
91.17±0.09 91.37±0.09,79.64±0.24 80.09±0.25,92.30 92.52,81.90 82.43,92.09±0.13 92.19±0.10
92.25±0.09 92.46±0.07 92.24±0.09 92.60±0.08,81.89±0.21 82.31±0.19 81.86±0.23 82.57±0.26,93.24 93.39 93.03 93.35,83.96 84.26 83.53 84.16,92.72±0.12 92.88±0.08 92.80±0.30 92.95±0.21
92.92±0.07 93.09±0.09 92.72±0.08 93.05±0.07,83.20±0.19 83.62±0.21 82.90±0.22 83.49±0.19,93.78 93.91 93.48 93.78,85.07 85.39 84.47 85.07,93.59±0.12 93.71±0.09 93.29±0.17 93.69±0.12
