,Assumed Number of Known Points on Volatility Surface,,,,,,,
Latent Dimensions,5,10,15,20,25,30,35,40
2,87.2,77.7,75.9,74.5,73.1,73.0,72.9,72.7
3,77.2,66.4,62.4,60.0,59.0,58.0,57.5,57.2
4,73.2,57.8,53.7,50.1,48.5,47.0,46.9,46.5
