1quadrant,,2quadrants,,
validation,test,validation,test,validation
100.03 100.03 68.62 64.05,99.75 99.82 68.39 63.91,62.14 62.48 45.57 44.96,62.18 62.41 45.34 44.73,26.01 26.20 20.97 20.97
35.98 0.061,35.91 0.061,17.51 0.045,17.68 0.045,5.23 0.027
