,CUB(IoU),,
block size,GDNN,CVAE,GDNN
1 4 8,89.37 88.74 90.72,98.52 98.07 96.78,96.93 96.55 97.14
1 4 8,74.95 70.48 76.07,95.95 94.25 89.10,91.84 90.87 92.68
1 4 8,62.11 57.68 63.59,89.44 84.36 76.87,85.27 85.70 87.83
